booking_id,customer_id,city,unit_size,start_date,end_date,duration_months,monthly_price,total_revenue,channel,repeat_customer
1,7020,Vantaa,5m² Unit,2025-11-04,2026-08-01,9,106.25,956.25,Website,1
2,3127,Turku,Premium Climate,2025-04-21,2025-10-18,6,198.0,1188.0,Google Ads,1
3,2852,Tampere,Premium Climate,2025-01-06,2025-03-07,2,175.95,351.9,Google Ads,0
4,1826,Tampere,Small Locker,2025-05-19,2025-06-18,1,86.25,86.25,Walk-in,1
5,9860,Turku,10m² Unit,2024-10-23,2025-06-20,8,165.0,1320.0,Walk-in,0
6,4242,Vantaa,Small Locker,2024-07-21,2025-03-18,8,93.75,750.0,Google Ads,1
7,3823,Vantaa,Small Locker,2025-05-15,2026-03-11,10,93.75,937.5,Referral,1
8,5036,Helsinki,5m² Unit,2024-05-29,2024-10-26,5,187.5,937.5,Referral,1
9,2608,Tampere,Premium Climate,2025-08-27,2026-08-22,12,258.75,3105.0,Website,0
10,7440,Turku,10m² Unit,2025-06-29,2026-06-24,12,206.25,2475.0,Partner,1
11,6435,Turku,Small Locker,2025-07-24,2026-04-20,9,82.5,742.5,Partner,0
12,5343,Tampere,Premium Climate,2025-11-25,2026-06-23,7,175.95,1231.65,Referral,0
13,8599,Espoo,Small Locker,2024-09-25,2025-05-23,8,81.0,648.0,Referral,1
14,6436,Vantaa,5m² Unit,2024-07-02,2025-03-29,9,156.25,1406.25,Partner,1
15,1715,Vantaa,5m² Unit,2025-03-10,2025-09-06,6,125.0,750.0,Google Ads,1
16,7848,Espoo,Small Locker,2024-07-01,2025-06-26,12,101.25,1215.0,Website,0
17,8361,Helsinki,Small Locker,2024-09-03,2025-07-30,11,90.0,990.0,Google Ads,0
18,7842,Espoo,Small Locker,2025-07-10,2026-02-05,7,101.25,708.75,Partner,1
19,4371,Espoo,Premium Climate,2025-01-17,2025-09-14,8,206.55,1652.4,Referral,1
20,9256,Turku,Small Locker,2024-04-24,2024-06-23,2,66.0,132.0,Partner,0
21,1619,Vantaa,5m² Unit,2024-10-27,2025-01-25,3,125.0,375.0,Partner,0
22,1733,Espoo,Small Locker,2025-08-05,2026-06-01,10,101.25,1012.5,Partner,1
23,4204,Vantaa,Small Locker,2025-04-01,2025-05-01,1,75.0,75.0,Partner,0
24,3893,Turku,5m² Unit,2025-10-08,2026-08-04,10,110.0,1100.0,Walk-in,0
25,6193,Helsinki,Small Locker,2024-08-17,2025-08-12,12,112.5,1350.0,Referral,1
26,6596,Tampere,5m² Unit,2024-05-13,2024-11-09,6,143.75,862.5,Referral,1
27,3286,Turku,5m² Unit,2026-04-07,2027-02-01,10,110.0,1100.0,Partner,0
28,6220,Espoo,Premium Climate,2024-12-06,2025-01-05,1,206.55,206.55,Website,1
29,4841,Turku,10m² Unit,2025-12-03,2026-03-03,3,140.25,420.75,Google Ads,0
30,5127,Espoo,Premium Climate,2025-11-08,2025-12-08,1,206.55,206.55,Referral,0
31,7147,Espoo,5m² Unit,2026-04-05,2027-03-01,11,135.0,1485.0,Website,0
32,9243,Tampere,10m² Unit,2025-11-24,2026-01-23,2,146.62,293.24,Referral,1
33,2914,Helsinki,Premium Climate,2025-07-30,2026-06-25,11,337.5,3712.5,Referral,1
34,7983,Tampere,Small Locker,2026-04-16,2027-04-11,12,69.0,828.0,Google Ads,0
35,7121,Tampere,5m² Unit,2025-01-10,2025-06-09,5,97.75,488.75,Walk-in,1
36,2930,Helsinki,Premium Climate,2026-02-17,2026-07-17,5,229.5,1147.5,Partner,1
37,8358,Tampere,Premium Climate,2025-03-20,2026-01-14,10,207.0,2070.0,Walk-in,1
38,4996,Helsinki,Premium Climate,2026-01-13,2026-08-11,7,229.5,1606.5,Website,0
39,4987,Tampere,5m² Unit,2025-12-10,2026-09-06,9,97.75,879.75,Referral,1
40,7771,Tampere,10m² Unit,2025-12-05,2026-03-05,3,146.62,439.86,Walk-in,1
41,6353,Espoo,Small Locker,2024-05-17,2025-03-13,10,101.25,1012.5,Partner,1
42,2919,Vantaa,Small Locker,2024-10-14,2024-11-13,1,75.0,75.0,Walk-in,1
43,4624,Vantaa,Premium Climate,2025-06-06,2026-03-03,9,281.25,2531.25,Referral,0
44,4333,Helsinki,5m² Unit,2026-01-28,2026-06-27,5,127.5,637.5,Partner,1
45,3806,Tampere,10m² Unit,2024-12-27,2025-02-25,2,146.62,293.24,Walk-in,1
46,3273,Turku,Premium Climate,2025-09-30,2026-01-28,4,198.0,792.0,Google Ads,1
47,9181,Turku,Small Locker,2025-11-12,2026-09-08,10,56.1,561.0,Referral,0
48,6786,Helsinki,Small Locker,2025-07-07,2026-06-02,11,112.5,1237.5,Partner,1
49,9495,Vantaa,Small Locker,2025-04-14,2026-01-09,9,75.0,675.0,Website,1
50,3584,Helsinki,5m² Unit,2025-07-24,2026-07-19,12,187.5,2250.0,Google Ads,1
51,1177,Vantaa,10m² Unit,2024-12-27,2025-12-22,12,159.38,1912.56,Walk-in,0
52,4890,Turku,Small Locker,2024-09-10,2025-06-07,9,66.0,594.0,Website,0
53,1584,Tampere,10m² Unit,2025-02-12,2025-09-10,7,146.62,1026.34,Walk-in,0
54,8218,Turku,5m² Unit,2025-03-24,2025-09-20,6,110.0,660.0,Walk-in,1
55,1470,Vantaa,Premium Climate,2024-09-03,2025-01-31,5,225.0,1125.0,Partner,1
56,8252,Vantaa,Premium Climate,2024-09-24,2025-09-19,12,225.0,2700.0,Website,1
57,3694,Vantaa,5m² Unit,2026-03-22,2026-04-21,1,125.0,125.0,Walk-in,1
58,8546,Espoo,10m² Unit,2025-11-12,2026-04-11,5,172.12,860.6,Partner,0
59,8745,Tampere,5m² Unit,2024-08-03,2025-07-29,12,143.75,1725.0,Walk-in,1
60,4344,Turku,Premium Climate,2024-06-11,2024-09-09,3,247.5,742.5,Google Ads,0
61,9826,Helsinki,5m² Unit,2025-08-13,2026-06-09,10,187.5,1875.0,Referral,0
62,1861,Vantaa,Premium Climate,2024-09-22,2025-06-19,9,225.0,2025.0,Referral,0
63,5710,Tampere,Premium Climate,2024-10-11,2025-05-09,7,207.0,1449.0,Google Ads,1
64,2274,Espoo,5m² Unit,2024-07-19,2024-11-16,4,168.75,675.0,Partner,0
